,region,district,year,month,mean_mon_rainfall_mm
1649,Central,Asikuma / Odoben / Brakwa,1981,4,109.13213
1650,Central,Cape Coast,1981,4,92.03328
1651,Central,Komenda / Edina / Eguafo / Abirem,1981,4,93.443596
1652,Central,Mfantsiman,1981,4,84.123146
1653,Central,Twifo / Heman / Lower Denkyira,1981,4,105.47413
1654,Eastern,Akwapim North,1981,4,90.90025
1655,Eastern,Akwapim South,1981,4,78.220924
1656,Eastern,Asuogyaman,1981,4,115.3969
1657,Eastern,Fanteakwa,1981,4,115.04415
1658,Eastern,Kwaebibirem,1981,4,111.65778
1659,Eastern,New Juaben Municipal,1981,4,88.461105
1660,Eastern,Suhum / Kraboa Coaltar,1981,4,91.1613
1661,Eastern,West Akim,1981,4,97.74515
1662,Eastern,Yilo Krobo,1981,4,103.93504
1663,Greater Accra,Dangbe East,1981,4,121.25526
1664,Greater Accra,Dangbe West,1981,4,98.267654
